country_code,weight
MKD,0.5126190689489541
KGZ,0.26164854237735613
ALB,0.11044267836117529
BIH,0.0822318263109307
AZE,0.03305788400158381
TUR,1.9177800919588216e-17
ARM,2.1794060453168353e-18
MDA,4.247175428371259e-19
GEO,0.0
KAZ,0.0
SRB,0.0
UKR,0.0
UZB,0.0
